,Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,KhoiA00,KhoiA01,KhoiB00,KhoiC00,KhoiD00,KhoiD07
158,53000159,8.0,6.0,6.0,7.25,7.75,7.0,7.33,,,,,23.0,21.25,22.75,,20.0,21.75
159,53000160,6.6,8.0,7.2,,,,,7.0,5.25,7.5,6.58,,,,20.25,21.799999999999997,
160,53000161,7.0,4.0,4.2,7.5,7.5,6.75,7.25,,,,,22.0,18.7,21.25,,15.2,18.7
161,53000162,3.8,7.0,2.8,,,,,4.75,4.0,6.0,4.92,,,,15.75,13.600000000000001,
162,53000163,4.6,8.25,5.4,,,,,6.75,5.75,8.0,6.83,,,,20.75,18.25,
163,53000164,6.4,6.75,6.8,5.5,7.5,7.25,6.75,,,,,19.4,18.700000000000003,21.15,,19.950000000000003,20.700000000000003
164,53000165,4.6,6.75,4.2,,,,,6.0,4.5,6.0,5.5,,,,17.25,15.549999999999999,
165,53000166,8.2,6.75,8.0,6.5,8.5,8.5,7.83,,,,,23.2,22.7,25.2,,22.95,24.7
166,53000167,6.0,8.5,8.0,,,,,7.75,8.5,9.75,8.67,,,,24.75,22.5,
167,53000168,7.4,8.5,9.0,8.25,6.25,6.75,7.08,,,,,21.9,24.65,20.4,,24.9,22.65
168,53000169,9.0,9.0,7.4,5.25,9.0,8.75,7.67,,,,,23.25,21.65,26.75,,25.4,25.4
169,53000170,6.6,6.0,5.4,5.75,7.25,6.0,6.33,,,,,19.6,17.75,19.85,,18.0,19.25
170,53000171,8.2,8.0,6.2,,,,,7.0,7.25,9.25,7.83,,,,22.25,22.4,
171,53000172,6.0,6.25,3.6,,,,,6.25,6.75,9.0,7.33,,,,19.25,15.85,
172,53000173,6.4,7.0,5.0,6.0,6.75,4.0,5.58,,,,,19.15,17.4,17.15,,18.4,18.15
173,53000174,8.6,7.0,7.0,8.25,9.25,7.25,8.25,,,,,26.1,23.85,25.1,,22.6,24.85
174,53000175,7.8,7.75,6.0,9.0,7.75,7.0,7.92,,,,,24.55,22.8,22.55,,21.55,21.55
175,53000176,6.8,6.5,3.4,,,,,6.0,4.5,9.0,6.5,,,,17.0,16.7,
176,53000177,8.4,8.75,5.6,7.5,7.0,7.25,7.25,,,,,22.9,21.5,22.65,,22.75,21.0
177,53000178,6.0,8.0,3.8,,,,,5.75,8.0,8.75,7.5,,,,21.75,17.8,
178,53000179,8.4,9.0,7.6,8.25,8.5,7.0,7.92,,,,,25.15,24.25,23.9,,25.0,24.5
179,53000180,7.0,6.75,5.4,7.5,6.75,6.25,6.83,,,,,21.25,19.9,20.0,,19.15,19.15
180,53000181,7.2,6.25,8.2,7.0,7.5,7.75,7.42,,,,,21.7,22.4,22.45,,21.65,22.9
181,53000182,6.0,5.75,3.6,6.25,6.25,7.0,6.5,,,,,18.5,15.85,19.25,,15.35,15.85
182,53000183,6.6,8.0,5.0,6.5,7.5,6.75,6.92,,,,,20.6,18.1,20.85,,19.6,19.1
183,53000184,6.0,8.0,5.6,,,,,4.75,4.5,8.0,5.75,,,,17.25,19.6,
184,53000185,7.6,6.75,9.2,8.0,7.0,6.5,7.17,,,,,22.6,24.799999999999997,21.1,,23.549999999999997,23.799999999999997
185,53000186,7.8,8.5,6.6,7.5,8.25,7.5,7.75,,,,,23.55,21.9,23.55,,22.9,22.65
186,53000187,7.8,6.5,5.8,6.75,8.5,6.5,7.25,,,,,23.05,20.35,22.8,,20.1,22.1
187,53000188,6.6,5.25,3.6,6.0,4.5,6.5,5.67,,,,,17.1,16.2,17.6,,15.45,14.7
188,53000189,6.8,7.25,6.8,,,,,7.75,7.75,8.75,8.08,,,,22.75,20.85,
