Code,DiaLi,GDCD,HoaHoc,KHTN,KHXH,LichSu,ListGroup,NgoaiNgu,NguVan,Result,SinhHoc,Toan,VatLi
01000235,6.50,8.50,,,7.25,6.75,[],8.60,7.50,,,8.00,
01000236,6.50,7.25,,,6.08,4.50,[],6.00,8.25,,,7.20,
01000237,7.00,8.50,,,7.58,7.25,[],8.00,6.50,,,7.60,
01000238,7.50,9.00,,,8.25,8.25,[],6.60,9.00,,,7.40,
01000239,7.25,9.00,,,8.08,8.00,[],9.60,7.25,,,7.80,
01000240,7.50,7.50,,,6.50,4.50,[],7.40,7.00,,,8.40,
01000241,6.75,7.75,,,7.50,8.00,[],7.80,9.00,,,8.00,
01000242,8.00,8.50,,,8.33,8.50,[],8.40,7.00,,,7.80,
01000243,8.00,9.00,,,8.67,9.00,[],9.00,8.75,,,8.40,
01000244,,,4.75,6.00,,,[],8.40,7.00,,4.25,8.40,9.00
01000245,5.75,8.25,,,6.75,6.25,[],7.60,8.25,,,8.60,
01000246,8.50,9.00,,,8.42,7.75,[],6.80,8.50,,,7.20,
01000247,,,5.25,5.25,,,[],8.60,6.00,,4.00,7.80,6.50
01000248,7.25,8.50,,,7.83,7.75,[],8.20,8.00,,,6.80,
01000249,9.25,9.00,,,8.42,7.00,[],9.60,8.75,,,9.00,
01000250,,,6.50,6.25,,,[],9.20,6.00,,3.50,8.80,8.75
01000251,,,9.75,7.92,,,[],9.40,7.25,,5.25,8.80,8.75
01000252,5.75,8.00,,,6.33,5.25,[],3.20,6.25,,,5.00,
01000253,8.00,9.25,,,8.67,8.75,[],8.20,8.50,,,8.40,
01000254,,,7.50,6.67,,,[],9.00,5.50,,4.50,8.40,8.00
01000255,8.00,8.50,,,7.92,7.25,[],8.20,9.00,,,7.40,
01000256,,,8.25,5.42,,,[],8.00,7.75,,5.00,8.20,3.00
01000257,5.75,8.25,,,6.92,6.75,[],8.60,8.00,,,7.40,
01000258,,,4.50,,,,[],5.20,,,,6.80,4.50
01000259,6.50,6.50,,,6.67,7.00,[],5.20,7.75,,,5.80,
01000260,,,5.50,5.75,,,[],8.40,6.75,,5.25,8.20,6.50
01000261,7.25,8.00,,,7.67,7.75,[],7.80,7.50,,,8.00,
01000262,7.50,9.00,,,8.17,8.00,[],4.60,6.00,,,4.80,
01000263,,,6.00,5.08,,,[],6.20,6.00,,4.25,7.60,5.00
01000264,6.75,8.25,,,7.50,7.50,[],,6.75,,,6.60,
01000265,6.75,7.25,,,6.83,6.50,[],7.40,6.75,,,7.60,
01000266,7.25,7.75,,,7.33,7.00,[],9.60,8.00,,,9.00,
01000267,5.50,6.75,,,5.58,4.50,[],3.40,7.25,,,2.40,
01000268,7.00,8.00,,,7.50,7.50,[],7.00,8.50,,,7.00,
01000269,6.00,,,,,6.50,[],,4.75,,,1.60,
01000270,6.25,8.00,,,7.17,7.25,[],8.40,7.50,,,6.60,
01000271,6.00,8.00,,,6.92,6.75,[],8.20,7.75,,,7.60,
01000272,9.25,7.50,,,8.67,9.25,[],6.00,7.25,,,2.60,
01000273,,,5.00,5.58,,,[],9.20,6.25,,4.50,7.60,7.25
01000274,7.00,8.00,,,7.75,8.25,[],7.80,8.00,,,9.00,
01000275,6.50,,,,,5.75,[],,6.50,,,,
01000276,7.00,9.75,,,8.33,8.25,[],7.40,8.00,,,6.80,
01000277,6.25,,,,,5.75,[],,4.75,,,,
01000278,,,6.00,6.67,,,[],8.20,7.25,,5.75,8.60,8.25
01000279,,,6.25,6.08,,,[],6.40,6.25,,5.75,8.40,6.25
01000280,6.50,8.00,,,6.92,6.25,[],3.40,6.75,,,7.40,
01000281,6.75,8.75,,,7.17,6.00,[],7.80,7.75,,,9.00,
01000282,6.25,5.75,,,5.67,5.00,[],5.40,7.00,,,7.60,
01000283,6.75,7.00,,,6.17,4.75,[],4.00,6.67,,,7.80,
01000284,7.50,8.25,,,7.25,6.00,[],7.60,8.25,,,7.00,
01000285,,,7.75,7.75,,,[],9.00,6.50,,6.25,9.20,9.25
01000286,7.25,,,,,6.25,[],,4.00,,,4.20,
01000287,6.25,8.25,,,6.83,6.00,[],9.00,8.00,,,7.00,
01000288,7.50,8.50,,,7.92,7.75,[],8.80,8.50,,,8.40,
01000289,6.50,7.75,,,6.17,4.25,[],8.40,8.50,,,7.60,
01000290,,,4.50,5.92,,,[],9.40,7.75,,4.75,9.00,8.50
01000291,7.00,8.00,,,6.92,5.75,[],7.20,7.75,,,7.20,
01000292,,,3.75,4.00,,,[],7.40,6.50,,3.75,6.80,4.50
01000293,,,2.50,4.83,,,[],9.20,5.00,,4.50,8.80,7.50
01000294,,,6.50,6.58,,,[],9.20,3.75,,5.00,8.20,8.25
01000295,6.25,,,,,5.75,[],,4.25,,,3.80,
01000296,,,8.25,5.50,,,[],9.20,6.00,,4.25,8.80,4.00
01000297,,,5.00,4.58,,,[],6.60,6.00,,2.75,7.60,6.00
01000298,,,4.25,4.92,,,[],6.60,6.50,,5.00,8.80,5.50
01000299,7.75,7.25,,,7.50,7.50,[],7.60,6.75,,,6.40,
01000300,5.25,7.25,,,6.17,6.00,[],4.80,6.00,,,5.00,
01000301,,,3.75,5.25,,,[],7.80,5.25,,4.25,7.80,7.75
01000302,6.00,9.00,,,7.50,7.50,[],8.60,5.75,,,6.60,
01000303,8.50,8.00,,,8.42,8.75,[],7.80,7.75,,,6.40,
01000304,8.75,8.00,,,8.42,8.50,[],7.00,7.25,,,7.40,
01000305,,,3.25,4.50,,,[],6.00,5.75,,3.25,8.60,7.00
